Date,Price
2024-06-02,0.0280604870161156
2024-06-03,0.3767429047270714
2024-06-04,0.4491529914721572
2024-06-05,0.5939731649623303
2024-06-06,0.5076380615354963
2024-06-07,0.1121675877738695
2024-06-08,0.2291377279005476
2024-06-09,0.1901476811916549
2024-06-10,0.2291377279005476
2024-06-11,0.3126878279910327
2024-06-12,0.2931928046365863
2024-06-13,0.2374927379095963
2024-06-14,0.3934529247451687
2024-06-15,0.6719532583801157
2024-06-16,0.4770030248356522
2024-06-17,0.685878275061864
2024-06-18,0.7053732984163104
2024-06-19,1.409979142512728
2024-06-20,1.3236440390858957
2024-06-21,1.758104559556413
2024-06-22,1.788739596256259
2024-06-23,1.4823892292578154
2024-06-24,1.3570640791220885
2024-06-25,1.398839129167332
2024-06-26,1.1175537921960328
2024-06-27,1.162113845577625
2024-06-28,1.1119837855233348
2024-06-29,1.072993738814442
2024-06-30,1.13426381221413
2024-07-01,1.19386288361201
2024-07-02,1.370989095803835
2024-07-03,1.5046692559486108
2024-07-04,2.1897800766905835
2024-07-05,2.306193216149992
2024-07-06,2.4610394016510235
2024-07-07,2.6576606371972966
2024-07-08,2.7885557940057226
2024-07-09,2.685510670560792
2024-07-10,2.5239804770525214
2024-07-11,2.554615513752366
2024-07-12,3.2258013178125915
2024-07-13,2.80526581402382
2024-07-14,3.005786054240982
2024-07-15,3.546076701492782
2024-07-16,3.885847108527418
2024-07-17,3.7660919650643914
2024-07-18,3.534936688147384
2024-07-19,3.66304684161946
2024-07-20,4.114217382108076
2024-07-21,4.311952618988889
2024-07-22,4.882878302940533
2024-07-23,4.259037555598249
2024-07-24,4.155992432153319
2024-07-25,3.813437021782332
2024-07-26,4.217262505553007
2024-07-27,4.540322892569547
2024-07-28,4.487407829178907
2024-07-29,4.136497408798872
2024-07-30,4.373222692388578
2024-07-31,4.804898209522747
2024-08-01,5.38139390014709
2024-08-02,6.099924760925258
2024-08-03,6.2642399577698775
2024-08-04,5.999664640816675
2024-08-05,6.963275795193597
2024-08-06,7.124805988701867
2024-08-07,7.275196168864738
2024-08-08,5.840919450644756
2024-08-09,5.528999076973612
2024-08-10,5.311768816738353
2024-08-11,5.721164307181727
2024-08-12,5.8771244940172975
2024-08-13,5.520644066964565
2024-08-14,4.7826181828319525
2024-08-15,4.467912805824461
2024-08-16,4.832748242886242
2024-08-17,4.105862372099028
2024-08-18,4.490192832515256
2024-08-19,4.8912333129495815
2024-08-20,3.807867015109633
2024-08-21,4.142067415471571
2024-08-22,3.955472191936156
2024-08-23,4.272962572279996
2024-08-24,3.796727001764236
